date,window_start,window_end,window_length,beta,pinned,accepted,convergence_flag
1991-12-24,1990-01-03,1991-12-23,500,0.974023550233085,False,True,0
1991-12-26,1990-01-03,1991-12-24,501,0.9741050227780701,False,True,0
1991-12-27,1990-01-03,1991-12-26,502,0.9739497593077007,False,True,0
1991-12-30,1990-01-03,1991-12-27,503,0.9740445129746149,False,True,0
1991-12-31,1990-01-03,1991-12-30,504,0.9743113766601766,False,True,0
1992-01-02,1990-01-03,1991-12-31,505,0.9744237567206233,False,True,0
1992-01-03,1990-01-03,1992-01-02,506,0.9744244070419007,False,True,0
1992-01-06,1990-01-03,1992-01-03,507,0.9744646497630346,False,True,0
1992-01-07,1990-01-03,1992-01-06,508,0.9742423086848739,False,True,0
1992-01-08,1990-01-03,1992-01-07,509,0.974163785553204,False,True,0
1992-01-09,1990-01-03,1992-01-08,510,0.9742386798308285,False,True,0
1992-01-10,1990-01-03,1992-01-09,511,0.9741524997363796,False,True,0
1992-01-13,1990-01-03,1992-01-10,512,0.9739319897883627,False,True,0
1992-01-14,1990-01-03,1992-01-13,513,0.9741761229801466,False,True,0
1992-01-15,1990-01-03,1992-01-14,514,0.9729932135947688,False,True,0
1992-01-16,1990-01-03,1992-01-15,515,0.9734126143235589,False,True,0
1992-01-17,1990-01-03,1992-01-16,516,0.9731535486998928,False,True,0
1992-01-20,1990-01-03,1992-01-17,517,0.9738746796685734,False,True,0
1992-01-21,1990-01-03,1992-01-20,518,0.9736264261273238,False,True,0
1992-01-22,1990-01-03,1992-01-21,519,0.9726709586077933,False,True,0
1992-01-23,1990-01-03,1992-01-22,520,0.9701813632499771,False,True,0
1992-01-24,1990-01-03,1992-01-23,521,0.9695877704250109,False,True,0
1992-01-27,1990-01-03,1992-01-24,522,0.9710859818547376,False,True,0
1992-01-28,1990-01-03,1992-01-27,523,0.9722457908440488,False,True,0
1992-01-29,1990-01-03,1992-01-28,524,0.9734390959880038,False,True,0
1992-01-30,1990-01-03,1992-01-29,525,0.9717602992305535,False,True,0
1992-01-31,1990-01-03,1992-01-30,526,0.9730829015565617,False,True,0
1992-02-03,1990-01-03,1992-01-31,527,0.9727914464927834,False,True,0
1992-02-04,1990-01-03,1992-02-03,528,0.9742514271674788,False,True,0
1992-02-05,1990-01-03,1992-02-04,529,0.9729503529425763,False,True,0
1992-02-06,1990-01-03,1992-02-05,530,0.9741234620174136,False,True,0
1992-02-07,1990-01-03,1992-02-06,531,0.9752078136439133,False,True,0
1992-02-10,1990-01-03,1992-02-07,532,0.9749332045749856,False,True,0
1992-02-11,1990-01-03,1992-02-10,533,0.9750858711359488,False,True,0
1992-02-12,1990-01-03,1992-02-11,534,0.9761434527137248,False,True,0
1992-02-13,1990-01-03,1992-02-12,535,0.9756989098946515,False,True,0
1992-02-14,1990-01-03,1992-02-13,536,0.9749789061685916,False,True,0
1992-02-18,1990-01-03,1992-02-14,537,0.9757374136330372,False,True,0
1992-02-19,1990-01-03,1992-02-18,538,0.9737707804786321,False,True,0
1992-02-20,1990-01-03,1992-02-19,539,0.9752021830846955,False,True,0
1992-02-21,1990-01-03,1992-02-20,540,0.9727584972022443,False,True,0
1992-02-24,1990-01-03,1992-02-21,541,0.9728660361681515,False,True,0
1992-02-25,1990-01-03,1992-02-24,542,0.9741058252722533,False,True,0
1992-02-26,1990-01-03,1992-02-25,543,0.9745799135418265,False,True,0
1992-02-27,1990-01-03,1992-02-26,544,0.9730851213038818,False,True,0
1992-02-28,1990-01-03,1992-02-27,545,0.9736814316999118,False,True,0
1992-03-02,1990-01-03,1992-02-28,546,0.9744326294338423,False,True,0
1992-03-03,1990-01-03,1992-03-02,547,0.9754553704260728,False,True,0
1992-03-04,1990-01-03,1992-03-03,548,0.976465131759712,False,True,0
1992-03-05,1990-01-03,1992-03-04,549,0.9757990082167849,False,True,0
1992-03-06,1990-01-03,1992-03-05,550,0.9756302603037675,False,True,0
1992-03-09,1990-01-03,1992-03-06,551,0.9760410827611183,False,True,0
1992-03-10,1990-01-03,1992-03-09,552,0.9772343582905851,False,True,0
1992-03-11,1990-01-03,1992-03-10,553,0.9780081495736994,False,True,0
1992-03-12,1990-01-03,1992-03-11,554,0.9777987824099862,False,True,0
1992-03-13,1990-01-03,1992-03-12,555,0.9788870698944624,False,True,0
1992-03-16,1990-01-03,1992-03-13,556,0.9794442658900633,False,True,0
1992-03-17,1990-01-03,1992-03-16,557,0.9803573853111148,False,True,0
1992-03-18,1990-01-03,1992-03-17,558,0.9801039057806182,False,True,0
1992-03-19,1990-01-03,1992-03-18,559,0.980788099475393,False,True,0
1992-03-20,1990-01-03,1992-03-19,560,0.9815076095926067,False,True,0
1992-03-23,1990-01-03,1992-03-20,561,0.9819860288066768,False,True,0
1992-03-24,1990-01-03,1992-03-23,562,0.9822604136407794,False,True,0
1992-03-25,1990-01-03,1992-03-24,563,0.9827110595733355,False,True,0
1992-03-26,1990-01-03,1992-03-25,564,0.9830502209942377,False,True,0
1992-03-27,1990-01-03,1992-03-26,565,0.9838250644287204,False,True,0
1992-03-30,1990-01-03,1992-03-27,566,0.9827439914759137,False,True,0
1992-03-31,1990-01-03,1992-03-30,567,0.9836612165170291,False,True,0
1992-04-01,1990-01-03,1992-03-31,568,0.9845776438945667,False,True,0
1992-04-02,1990-01-03,1992-04-01,569,0.9854460249085115,False,True,0
1992-04-03,1990-01-03,1992-04-02,570,0.9845131368155412,False,True,0
1992-04-06,1990-01-03,1992-04-03,571,0.9853905033623871,False,True,0
1992-04-07,1990-01-03,1992-04-06,572,0.9842068801186276,False,True,0
1992-04-08,1990-01-03,1992-04-07,573,0.9818199015240998,False,True,0
1992-04-09,1990-01-03,1992-04-08,574,0.9810237477421905,False,True,0
1992-04-10,1990-01-03,1992-04-09,575,0.9778766778683728,False,True,0
1992-04-13,1990-01-03,1992-04-10,576,0.9773816717529813,False,True,0
1992-04-14,1990-01-03,1992-04-13,577,0.9782350820783025,False,True,0
1992-04-15,1990-01-03,1992-04-14,578,0.9758663630438754,False,True,0
1992-04-16,1990-01-03,1992-04-15,579,0.9753600875262738,False,True,0
