strategy,direction,entry_date,exit_date,days_held,trade_return,exit_reason
vol_breakout,-1,2011-06-13,2011-06-15,2,-0.0132014460446088,regime_flip
vol_breakout,-1,2011-06-16,2011-06-21,3,-0.010173877357640599,regime_flip
mean_reversion,-1,2011-07-05,2011-07-19,10,0.0258832439660254,max_hold
mean_reversion,1,2011-08-01,2011-08-05,4,-0.0740282791478792,regime_flip
vol_breakout,-1,2011-08-05,2011-08-10,3,0.023216011318509297,trailing_stop
vol_breakout,1,2011-08-10,2011-08-11,1,-0.0451567970274746,trailing_stop
vol_breakout,-1,2011-08-11,2011-08-12,1,-0.0452505943637717,trailing_stop
vol_breakout,1,2011-08-12,2011-08-19,5,-0.027659332926861194,trailing_stop
vol_breakout,-1,2011-08-19,2011-08-24,3,-0.0188455001314905,regime_flip
vol_breakout,-1,2011-09-06,2011-09-08,2,-0.0207797485015373,regime_flip
vol_breakout,-1,2011-09-12,2011-09-14,2,-0.0160202943623772,regime_flip
mean_reversion,1,2011-09-23,2011-10-03,6,0.0016452915875307984,reverted
vol_breakout,-1,2011-10-04,2011-10-06,2,-0.0399472250766654,regime_flip
mean_reversion,-1,2011-10-11,2011-10-18,5,-0.004983811382783299,reverted
mean_reversion,-1,2011-10-28,2011-11-01,2,0.0246594630844364,reverted
vol_breakout,-1,2011-11-25,2011-11-29,2,-0.0261319597383593,regime_flip
mean_reversion,-1,2011-12-02,2011-12-16,10,0.0234369179928614,max_hold
mean_reversion,-1,2011-12-28,2011-12-29,1,0.0125565062565025,reverted
mean_reversion,-1,2012-02-07,2012-02-13,4,0.0012578790589419,reverted
mean_reversion,1,2012-03-07,2012-03-12,3,0.0202716439184483,reverted
mean_reversion,-1,2012-03-14,2012-03-28,10,-0.0118002049560717,max_hold
mean_reversion,1,2012-04-11,2012-04-24,9,0.006127250108326196,reverted
mean_reversion,1,2012-05-10,2012-05-16,4,-0.0178163253067378,regime_flip
vol_breakout,-1,2012-05-18,2012-05-22,2,-0.008493482569083902,regime_flip
mean_reversion,-1,2012-07-03,2012-07-16,8,0.006413725407463867,reverted
mean_reversion,-1,2012-07-20,2012-07-23,1,0.0101126205341683,reverted
mean_reversion,-1,2012-09-10,2012-09-21,9,-0.015416853255219198,reverted
vol_breakout,-1,2012-10-22,2012-10-23,1,-0.0004394856785507,regime_flip
mean_reversion,1,2012-10-24,2012-11-05,6,0.0007710268055368015,reverted
vol_breakout,-1,2012-11-08,2012-11-15,5,0.028394456576212,max_hold
vol_breakout,-1,2012-11-15,2012-11-20,3,-0.0229008355177065,regime_flip
mean_reversion,-1,2012-11-26,2012-12-04,6,-0.0002199215402604003,reverted
mean_reversion,1,2012-12-31,2013-01-02,1,0.0168000272698858,reverted
mean_reversion,-1,2013-01-07,2013-01-10,3,0.0037232970811738007,reverted
mean_reversion,-1,2013-03-06,2013-03-19,9,-0.0079627680857771,reverted
mean_reversion,-1,2013-04-15,2013-04-17,2,0.0090282837223006,reverted
mean_reversion,-1,2013-05-09,2013-05-23,10,-0.013783526664710877,reverted
vol_breakout,-1,2013-06-21,2013-06-25,2,0.0095531499061012,regime_flip
mean_reversion,-1,2013-07-12,2013-07-25,9,-0.006498119838900099,reverted
mean_reversion,1,2013-08-16,2013-08-23,5,-0.0026278602061935996,reverted
mean_reversion,-1,2013-09-11,2013-09-24,9,-0.010544026836629099,reverted
mean_reversion,-1,2013-10-17,2013-10-31,10,-0.023973496062446645,max_hold
mean_reversion,-1,2013-11-15,2013-11-21,4,0.0051791974233861,reverted
mean_reversion,-1,2013-12-23,2014-01-03,7,-0.0074843701715047,reverted
mean_reversion,1,2014-01-27,2014-02-03,5,-0.004310295981435,reverted
mean_reversion,-1,2014-02-12,2014-02-24,7,-0.0090263194897194,reverted
mean_reversion,1,2014-04-11,2014-04-16,3,0.0053862279285468,reverted
mean_reversion,1,2014-08-01,2014-08-11,6,0.0004763645586108988,reverted
mean_reversion,-1,2014-08-20,2014-08-29,7,-0.007611258901177488,reverted
mean_reversion,1,2014-09-26,2014-10-10,10,-0.01940383911449279,max_hold
vol_breakout,-1,2014-10-14,2014-10-21,5,-0.015492215653658402,regime_flip
mean_reversion,-1,2014-10-24,2014-11-07,10,-0.0403818858902357,max_hold
mean_reversion,1,2014-12-11,2014-12-26,10,0.0271387630078397,max_hold
mean_reversion,-1,2014-12-26,2014-12-31,3,0.0007350796242935002,reverted
mean_reversion,1,2015-01-06,2015-01-09,3,0.0203596492813318,reverted
mean_reversion,1,2015-03-11,2015-03-17,4,0.017952853463211398,reverted
mean_reversion,1,2015-06-30,2015-07-09,6,-0.005340648419612501,regime_flip
vol_breakout,-1,2015-07-09,2015-07-10,1,-0.00225964764482,regime_flip
mean_reversion,-1,2015-07-16,2015-07-23,5,-0.0031978804300142,reverted
vol_breakout,-1,2015-08-21,2015-08-27,4,0.0479036371765211,trailing_stop
vol_breakout,1,2015-08-27,2015-08-28,1,0.0240072544896898,regime_flip
vol_breakout,-1,2015-09-02,2015-09-09,4,-0.0286171155653959,trailing_stop
vol_breakout,1,2015-09-09,2015-09-16,5,0.004397692529225903,regime_flip
vol_breakout,-1,2015-09-29,2015-10-02,3,-0.0220999311948844,regime_flip
mean_reversion,-1,2015-10-06,2015-10-15,7,-0.00361186909375,reverted
mean_reversion,-1,2015-10-29,2015-11-02,2,0.0052713570690857,reverted
mean_reversion,1,2015-11-13,2015-11-19,4,0.018215615221004497,reverted
mean_reversion,-1,2015-11-23,2015-11-27,3,0.00014351451169060015,reverted
mean_reversion,1,2015-12-14,2015-12-18,4,0.0145627271848773,reverted
vol_breakout,-1,2016-01-07,2016-01-14,5,0.0515403066295049,max_hold
vol_breakout,-1,2016-01-14,2016-01-22,5,0.0113268089662997,max_hold
vol_breakout,-1,2016-01-26,2016-01-27,1,-0.0140452378303681,regime_flip
vol_breakout,-1,2016-02-08,2016-02-16,5,0.0081552988227881,max_hold
vol_breakout,1,2016-02-16,2016-02-17,1,0.0163817377416846,regime_flip
mean_reversion,-1,2016-02-22,2016-02-25,3,-0.006248113562920099,reverted
mean_reversion,-1,2016-03-08,2016-03-09,1,0.011303756056006,reverted
mean_reversion,-1,2016-04-19,2016-04-26,5,0.0031324009464128513,reverted
mean_reversion,-1,2016-06-01,2016-06-13,8,0.00041968930332650194,reverted
vol_breakout,-1,2016-06-28,2016-06-29,1,-0.0176141216040877,regime_flip
mean_reversion,-1,2016-07-06,2016-07-20,10,-0.035386637095140006,max_hold
mean_reversion,1,2016-09-12,2016-09-26,10,0.01718382775124729,max_hold
mean_reversion,-1,2016-11-10,2016-11-25,10,-0.0189841557378524,max_hold
mean_reversion,-1,2016-12-08,2016-12-19,7,-0.007432089935193201,reverted
mean_reversion,-1,2017-02-14,2017-03-01,10,-0.015085845816188498,reverted
mean_reversion,-1,2017-03-02,2017-03-08,4,0.0115736152692252,reverted
mean_reversion,-1,2017-04-26,2017-05-03,5,-0.0010711014658274002,reverted
mean_reversion,1,2017-05-18,2017-05-23,3,0.0155716051314253,reverted
mean_reversion,-1,2017-05-26,2017-06-09,9,-0.0077214286640899,reverted
vol_breakout,-1,2017-08-11,2017-08-14,1,-0.0012747571279874,regime_flip
vol_breakout,-1,2017-08-18,2017-08-21,1,0.0018370536613518,regime_flip
mean_reversion,-1,2017-10-04,2017-10-13,7,-0.006429998098943899,reverted
mean_reversion,-1,2017-11-29,2017-12-06,5,-0.0009626087689735999,reverted
mean_reversion,-1,2017-12-13,2017-12-28,10,-0.0069238891568641995,reverted
mean_reversion,-1,2018-01-05,2018-01-22,10,-0.031193542964051996,max_hold
mean_reversion,-1,2018-01-22,2018-02-05,10,0.017289177792107105,max_hold
mean_reversion,1,2018-02-05,2018-02-06,1,-0.0418425409383811,regime_flip
vol_breakout,-1,2018-02-06,2018-02-07,1,-0.0172905733489372,regime_flip
mean_reversion,1,2018-02-08,2018-02-09,1,-0.0382590522458015,regime_flip
vol_breakout,-1,2018-02-09,2018-02-13,2,-0.028644310877710098,regime_flip
