asset_or_variant,fill_type,holding_variant,n_hours,years,total_return_gross,total_return_net,annualized_return_gross,annualized_return_net,sharpe_net,max_drawdown_net,pct_hours_in_position,n_trades,avg_holding_hours,total_fee_drag_frac
BTC,maker,uncapped,28267,3.226826484018265,0.036457787900000004,-0.0300422121,0.011298341599886795,-0.009310141790639262,-2.064006562669721,-0.0304721544,0.009162627799200481,35,7.399995444444444,0.0665
ETH,maker,uncapped,28267,3.226826484018265,0.0168311666,-0.0477688334,0.0052160122905154415,-0.014803657288852726,-3.42352562323079,-0.04776883339999998,0.004846640959422648,34,4.029414403594771,0.0646
SOL,maker,uncapped,28267,3.226826484018265,0.1254705676,-0.009429432399999998,0.03888358057721017,-0.0029222000149998224,-0.43581914591259896,-0.03035703349999999,0.02851381469558142,71,11.352106764475746,0.13490000000000002
ROTATION,maker,uncapped,28267,3.226826484018265,0.14679039589999998,-0.0850096041,0.045490638132239,-0.026344646829023242,-2.8785554116424237,-0.08734573320000033,0.033643471185481305,122,7.7950783993624775,0.2318
BTC,maker,capped_24h,28267,3.226826484018265,0.0354487524,-0.034851247599999996,0.01098563947444016,-0.010800471538401668,-2.34747551077664,-0.03528118990000001,0.0089149892100329,37,6.810804024024023,0.0703
ETH,maker,capped_24h,28267,3.226826484018265,0.0168311666,-0.0477688334,0.0052160122905154415,-0.014803657288852726,-3.42352562323079,-0.04776883339999998,0.004846640959422648,34,4.029414403594771,0.0646
SOL,maker,capped_24h,28267,3.226826484018265,0.121828609,-0.022571390999999996,0.037754930301765306,-0.0069949193462341235,-1.0229963761581946,-0.03282608799999997,0.027417129514982135,76,10.197365175438597,0.14440000000000003
ROTATION,maker,capped_24h,28267,3.226826484018265,0.14451505679999999,-0.09108494319999999,0.044785505981108704,-0.028227406602469307,-3.0815975363464676,-0.09342107230000034,0.03293593235928822,124,7.508062036290322,0.23559999999999998
BTC,taker,uncapped,28267,3.226826484018265,0.0093887138,-0.0061112862000000006,0.0029095812391835003,-0.00189389985184137,-0.682866673886847,-0.0071842825999999995,0.0014150776523861746,5,8.000002499999999,0.0155
ETH,taker,uncapped,28267,3.226826484018265,0.0017579838000000001,-0.013742016200000002,0.0005448027059114869,-0.004258678385113383,-1.5853406857798036,-0.0137420162,0.00045990023702550676,5,2.5999710555555553,0.0155
SOL,taker,uncapped,28267,3.226826484018265,0.0322766941,-0.0297233059,0.010002612244525418,-0.009211312119574062,-1.6570808186373795,-0.03469265330000001,0.005271164255138501,20,7.450005833333336,0.06199999999999999
ROTATION,taker,uncapped,28267,3.226826484018265,0.0411027885,-0.03639721149999999,0.012737836603106095,-0.011279568852018251,-1.8152463412812223,-0.041366558900000024,0.006615488024905367,25,7.480007033333333,0.0775
BTC,taker,capped_24h,28267,3.226826484018265,0.0091260097,-0.0094739903,0.002828168711642551,-0.0029360085975872925,-0.9855708798908966,-0.009473990299999997,0.0013797007110765203,6,6.499982685185185,0.0186
ETH,taker,capped_24h,28267,3.226826484018265,0.0017579838000000001,-0.013742016200000002,0.0005448027059114869,-0.004258678385113383,-1.5853406857798036,-0.0137420162,0.00045990023702550676,5,2.5999710555555553,0.0155
SOL,taker,capped_24h,28267,3.226826484018265,0.0322766941,-0.0297233059,0.010002612244525418,-0.009211312119574062,-1.6570808186373795,-0.03469265330000001,0.005271164255138501,20,7.450005833333336,0.06199999999999999
ROTATION,taker,capped_24h,28267,3.226826484018265,0.0408400844,-0.039759915599999994,0.012656424075565146,-0.012321677597764175,-1.9533291483631692,-0.04472926300000003,0.006580111083595712,26,7.153848440170939,0.0806
